City1,City2,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num,dep latitude,dep longitude,arr latitude,arr longitude,haul
ADELAIDE,CANBERRA,12283,120,61.8,972,11939076,19331136,19888,2020,January,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,14618,138,63.8,972,14208696,22286016,22928,2020,February,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,10147,123,49.9,972,9862884,19757844,20327,2020,March,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,0,0,0,972,0,0,0,2020,April,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,0,0,0,972,0,0,0,2020,May,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,0,0,0,972,0,0,0,2020,June,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,0,0,0,972,0,0,0,2020,July,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,0,0,0,972,0,0,0,2020,August,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,0,0,0,972,0,0,0,2020,September,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,9597,96,64.1,972,9328284,14559588,14979,2020,October,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,0,0,0,972,0,0,0,2020,November,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,CANBERRA,9412,98,61.3,972,9148464,14933808,15364,2020,December,-34.928661,138.598633,-35.27603,149.13435,below 1k
ADELAIDE,MELBOURNE,199040,1546,77.7,643,127925990,164741715,256305,2019,January,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,200463,1513,80.6,643,128846039,159894120,248760,2019,February,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,227419,1678,82.1,643,146171887,178028848,276976,2019,March,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,215027,1588,81.7,643,138207671,169079513,263051,2019,April,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,199098,1601,76.3,643,127963274,167712153,260931,2019,May,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,189519,1512,76.1,643,121807627,160067105,249035,2019,June,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,222844,1645,82.8,643,143229212,173072724,269268,2019,July,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,212024,1571,82.2,643,136274512,165783375,257925,2019,August,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,210920,1588,81,643,135562120,167386392,260424,2019,September,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,232046,1659,85.8,643,149149318,173746630,270310,2019,October,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,222402,1574,85.8,643,142950316,166676244,259308,2019,November,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,207259,1544,81.7,643,133210817,162984156,253572,2019,December,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,199543,1483,81.5,643,128245819,157322679,244773,2020,January,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,193053,1497,78.3,643,124086189,158493691,246577,2020,February,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,129445,1291,63.1,643,83196215,131843012,205124,2020,March,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,4487,225,23,643,2885141,12537214,19498,2020,April,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,6165,192,38.3,643,3964095,10357444,16108,2020,May,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,7413,192,45.1,643,4766559,10565776,16432,2020,June,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,4137,215,22.1,643,2660091,12030530,18710,2020,July,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,1191,148,9.1,643,765813,8378290,13030,2020,August,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,1369,175,11.1,643,880267,7899898,12286,2020,September,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,0,0,0,643,0,0,0,2020,October,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,0,0,0,643,0,0,0,2020,November,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,MELBOURNE,62656,605,70.5,643,40287808,57113832,88824,2020,December,-34.928661,138.598633,-37.813938,144.963425,below 1k
ADELAIDE,GOLD COAST,21307,155,77,1607,34240349,44484974,27682,2019,January,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,14522,104,78.3,1607,23336854,29793780,18540,2019,February,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,17103,121,79.5,1607,27484521,34566570,21510,2019,March,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,18057,123,81.9,1607,29017599,35415066,22038,2019,April,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,16327,115,79.3,1607,26237489,33100986,20598,2019,May,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,14931,102,81.6,1607,23994117,29408100,18300,2019,June,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,19567,126,86.9,1607,31444169,36163928,22504,2019,July,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,18137,114,89.4,1607,29146159,32618886,20298,2019,August,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,18370,118,86.6,1607,29520590,34074828,21204,2019,September,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,20770,127,91.6,1607,33377390,36456402,22686,2019,October,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,16580,108,85.4,1607,26644060,31201512,19416,2019,November,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,19485,127,85.8,1607,31312395,36499791,22713,2019,December,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,19708,128,86.3,1607,31670756,36703880,22840,2020,January,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,16186,109,83.4,1607,26010902,31191870,19410,2020,February,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,11638,91,71.2,1607,18702266,26255166,16338,2020,March,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,0,0,0,1607,0,0,0,2020,April,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,0,0,0,1607,0,0,0,2020,May,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,0,0,0,1607,0,0,0,2020,June,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,0,0,0,1607,0,0,0,2020,July,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,0,0,0,1607,0,0,0,2020,August,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,0,0,0,1607,0,0,0,2020,September,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,9744,62,86.6,1607,15658608,18081964,11252,2020,October,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,0,0,0,1607,0,0,0,2020,November,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,GOLD COAST,10434,92,63.1,1607,16767438,26579780,16540,2020,December,-34.928661,138.598633,-28.00029,153.430878,1k-2k
ADELAIDE,PERTH,53071,453,79,2120,112510520,142391920,67166,2019,January,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,47343,423,75.3,2120,100367160,133258960,62858,2019,February,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,52995,486,72.6,2120,112349400,154808760,73023,2019,March,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,55908,480,77.1,2120,118524960,153767840,72532,2019,April,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,54413,492,73.1,2120,115355560,157814920,74441,2019,May,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,48750,462,69.8,2120,103350000,148069280,69844,2019,June,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,57437,505,74.5,2120,121766440,163536800,77140,2019,July,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,55413,484,76,2120,117475560,154647640,72947,2019,August,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,53322,455,77.8,2120,113042640,145328120,68551,2019,September,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,62148,500,81.4,2120,131753760,161921360,76378,2019,October,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,57780,455,81.6,2120,122493600,150098120,70801,2019,November,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,58254,452,83.6,2120,123498480,147800040,69717,2019,December,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,56502,434,84.7,2120,119784240,141359480,66679,2020,January,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,48805,425,75.1,2120,103466600,137755480,64979,2020,February,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,35323,380,62.1,2120,74884760,120511400,56845,2020,March,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,653,50,20.8,2120,1384360,6639840,3132,2020,April,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,0,0,0,2120,0,0,0,2020,May,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,0,0,0,2120,0,0,0,2020,June,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,0,0,0,2120,0,0,0,2020,July,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,0,0,0,2120,0,0,0,2020,August,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,0,0,0,2120,0,0,0,2020,September,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,0,0,0,2120,0,0,0,2020,October,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,0,0,0,2120,0,0,0,2020,November,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PERTH,8215,155,44.1,2120,17415800,39448960,18608,2020,December,-34.928661,138.598633,-31.95224,115.861397,2k-3k
ADELAIDE,PORT LINCOLN,13702,585,59.7,246,3370692,5643978,22943,2019,January,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,12827,588,56.4,246,3155442,5597238,22753,2019,February,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,15462,656,61,246,3803652,6237084,25354,2019,March,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,14525,605,62.2,246,3573150,5745822,23357,2019,April,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,14032,640,57,246,3451872,6057012,24622,2019,May,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,12923,602,55.9,246,3179058,5690226,23131,2019,June,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,12969,639,53.1,246,3190374,6012240,24440,2019,July,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,13768,642,55.8,246,3386928,6065868,24658,2019,August,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,14475,620,60.9,246,3560850,5844468,23758,2019,September,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,15944,635,65.3,246,3922224,6006336,24416,2019,October,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,16088,616,68,246,3957648,5823066,23671,2019,November,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,15554,593,67.6,246,3826284,5663904,23024,2019,December,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,14893,559,67.8,246,3663678,5400438,21953,2020,January,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,14698,555,68.5,246,3615708,5277930,21455,2020,February,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,11183,500,58.2,246,2751018,4727136,19216,2020,March,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,564,52,27.4,246,138744,506760,2060,2020,April,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,920,38,59,246,226320,383760,1560,2020,May,-34.928661,138.598633,-34.72625,135.87442,below 1k
ADELAIDE,PORT LINCOLN,0,0,0,246,0,0,0,2020,June,-34.928661,138.598633,-34.72625,135.87442,below 1k
